SchoolName,DataID
GATEWAY PRIMARY SCHOOL,I3XQO674J2
GEELHOUTBOOM VGK PRIMÊRE SKOOL,TLM9N5BRFY
GELUKSHOOP NGK PRIMÊRE SKOOL,QTZTZXIU8N
GENE LOUW PRIMARY SCHOOL,HT6Y5OP0CW
GEORGE FREDERICKS PRIMÊRE SKOOL,1BP1OYBRAF
GEORGE SEKONDÊR,24QP21IBAB
GEORGE VOORBEREIDINGSKOOL,7R809OTBJR
GEORGE-SUID LAERSKOOL,WLDOWIOROF
GERICKE LAERSKOOL,OVSVMLLF2Y
GERRIT DU PLESSIS SEKONDÊR,Q9MZPXPQ31
GIMNASIUM PRIMÊRE SKOOL,CNYFD70FZC
GLEN ELGIN MOR PRIMÊRE SKOOL,P3RIA1ADXE
GLEN HEATLIE AME PRIMÊRE SKOOL,4HSBSP6V54
GLENBRIDGE SPECIAL SCHOOL,XUR6MOMEPA
GLENDALE SECONDARY SCHOOL,W5TGO70EGN
GOEDEHOOP PRIMÊRE SKOOL,2O18ZBFXKR
GOEDGEGUN VGK PRIMÊRE SKOOL,G86U4VER6T
GOEDVERWACHT MOR PRIMÊRE SKOOL,9U6NELFQVQ
GOEIE HOOP PRIMÊRE SKOOL,MZHOLIQEW3
GOLDEN GROVE PRIMARY SCHOOL,MLCM3WTWUC
GOOD HOPE SEMINARY HIGH SCHOOL,QN8TL3Y1AB
